name,price
"Asus Vivobook X515Ea - 11Th I3 15.6 Inch,4Gb/256Gb,Intel Core I3","Rs. 61,500"
Modern 14 B5M with AMD Ryzen 5 5500U,"Rs. 88,700"
Laptop Acer Predator Helios300 PH315-53-547C i5 10th Gen-8GB-512SSD-RTX3060 6GB-OS,"Rs. 160,000"
"Asus ROG Strix Scar 15 2021 G533QS - Ryzen 9 5900HX / RTX 3080 / 16GB RAM / 1TB SSD / 15.6"" FHD 300Hz Display","Rs. 410,000"
Laptop Dell Vostro 3510 Notebook I3 Processor/ 4 GB RAM/1 TB HDD,"Rs. 65,000"
Asus Vivobook Flip Tp 470 I3-11Th Gen 8 Gb Ram /256 Gb Ssd Touch,"Rs. 68,250"
"Dell Inspirion 3505 Ryzen 5 3450 / 8GB RAM / 512GB SSD / Vega 8/ 15.6"" FHD TOUCH Display","Rs. 79,000"
"Acer Swift 3 2021 i5 11Th Gen / Intel Iris Xe Graphics / 8GB RAM / 512GB SSD / 14"" FHD Display / Backlight Keyboard","Rs. 95,000"
Dell Latitude E7280 I5-6th Gen 256 GB SSD 8 GB RAM 13 Inch Screen Ultrabook,"Rs. 37,999"
"MSI Modern 14 B4MW Ryzen 5 4500U / AMD Radeon Graphics / 8GB RAM / 256GB SSD / 14"" FHD Display","Rs. 104,000"
Lenovo ThinkPad L13 Gen 3 12th Generation,"Rs. 172,000"
Dell Inspiron 5510- i7 11thGen 8GBRam 512GBSSD Win.11 15.6'',"Rs. 125,999"
Acer Aspire 3 A315 AMD Ryzen 5 -7520u 8GB RAM 512GB SSD 15.6″ FHD Laptop,"Rs. 66,090"
"Lenovo Thinkpad  L14 Core i5 11th Gen/ 32 GB RAM / 1TB SSD Nvme/14"" FHD IPS/Backlit keyboard/Win 11 Professional Genuine/ 3 Years Warranty","Rs. 136,999"
Lenovo Ideapad 1 i5 12th gen 8Gb Ram 256Gb Ssd 15.6″ Fhd,"Rs. 76,000"
"HP Victus 15 Intel Core i5 13th Generation 8GB Ram 512GB SSD 6GB RTX 3050 Graphics 15.6""FHD 144Hz","Rs. 114,840"
"Acer Nitro 5 7000 Series Gaming Laptop, Ryzen 5 735HS, RTX 3050 GDDR6, DDR5 8GB 4200Mhz RAM, Gen4 512GB Nvme M.2 SSD","Rs. 113,500"
